epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.8603,1.42022,1.50079,3.23987,1.16134,0.00333,1,0.22155,0.12285,0.00333,1,0.32144,0.24666,0.83654,0.99254,3.30689,0.96161,8e-05,8e-05,8e-05
2,69.103,0.82897,0.7436,2.07373,0.91496,0.00333,1,0.995,0.80052,0.00333,1,0.995,0.71936,0.69949,0.76351,2.99149,0.85324,0.000176436,0.000176436,0.000176436
3,94.8457,0.69765,0.61311,1.34959,0.8998,0.00333,1,0.995,0.83351,0.00333,1,0.995,0.82119,0.60889,0.95825,3.16091,0.85584,0.000268912,0.000268912,0.000268912
4,120.226,0.76592,0.60237,1.40731,0.91471,0.00333,1,0.3071,0.22386,0.00333,1,0.52557,0.32888,0.49331,0.83054,3.54439,0.96159,0.000357428,0.000357428,0.000357428
5,144.101,0.66884,0.63584,1.31089,0.89011,0.00333,1,0.07448,0.02113,0.00333,1,0.07448,0.04067,0.58052,0.62112,3.54826,1.01219,0.000441984,0.000441984,0.000441984
6,168.348,0.82272,0.69851,1.23388,0.93466,0.00333,1,0.01026,0.00836,0.00333,1,0.01026,0.00864,0.57236,0.64046,3.56388,1.01501,0.00052258,0.00052258,0.00052258
7,192.888,0.73184,0.59454,1.22012,0.90948,0.00333,1,0.01085,0.00924,0.00333,1,0.01085,0.00897,0.55995,0.59966,3.5104,1.03952,0.000599216,0.000599216,0.000599216
8,217.441,0.61261,0.6572,1.18035,0.87744,0.00333,1,0.0111,0.00907,0.00333,1,0.0111,0.0087,0.62931,0.68333,3.49426,1.06649,0.000671892,0.000671892,0.000671892
9,241.543,0.66197,0.92584,1.05237,0.90865,0.00333,1,0.01019,0.00838,0.00333,1,0.01019,0.00845,0.59644,0.76186,3.36986,1.05533,0.000740608,0.000740608,0.000740608
10,266.709,0.60363,0.52359,1.0041,0.89822,0.00333,1,0.14328,0.10763,0.00333,1,0.14328,0.10299,0.59357,0.56371,3.29533,1.04188,0.000805364,0.000805364,0.000805364
11,291.324,0.70833,0.52682,1.00672,0.91923,0.00333,1,0.85147,0.69187,0.00333,1,0.85147,0.68963,0.55678,0.61475,3.20655,1.00733,0.00086616,0.00086616,0.00086616
12,316.038,0.6477,0.51532,0.98999,0.90085,0.96428,1,0.995,0.81199,0.96428,1,0.995,0.76161,0.71512,0.92056,3.07098,1.07759,0.000922996,0.000922996,0.000922996
13,345.077,0.72186,0.71398,1.03913,0.9542,1,0.47815,0.995,0.80711,1,0.47815,0.995,0.76392,0.70779,0.89004,2.85387,1.08677,0.000975872,0.000975872,0.000975872
14,371.277,0.63735,0.50114,0.97306,0.90097,1,0.86556,0.995,0.84328,1,0.86556,0.995,0.83319,0.57244,0.65335,2.52486,1.02106,0.00102479,0.00102479,0.00102479
15,396.678,0.65436,0.62003,0.91891,0.91013,1,0.97919,0.995,0.79487,1,0.97919,0.995,0.79606,0.60772,0.65153,2.11404,1.02862,0.00106974,0.00106974,0.00106974
16,422.754,0.66631,0.50304,0.90354,0.92855,1,0.93182,0.995,0.84616,1,0.93182,0.995,0.82637,0.57456,0.6671,2.02124,1.02451,0.00111074,0.00111074,0.00111074
17,448.141,0.64454,0.64436,0.94639,0.87819,1,0.91008,0.995,0.88698,1,0.91008,0.995,0.85782,0.57812,0.61324,2.29,1.02147,0.00114778,0.00114778,0.00114778
18,472.903,0.67645,0.56919,0.96539,0.94677,1,0.97981,0.995,0.85172,1,0.97981,0.995,0.81614,0.59738,0.59492,2.0658,1.00631,0.00118085,0.00118085,0.00118085
19,497.857,0.65937,0.57806,0.92137,0.91308,0.99696,1,0.995,0.82763,0.99696,1,0.995,0.82279,0.64326,0.73482,1.64063,1.02349,0.00120997,0.00120997,0.00120997
20,523.116,0.60086,0.6804,0.91332,0.90113,0.9924,1,0.995,0.82487,0.9924,1,0.995,0.83269,0.64799,0.7464,1.1764,1.05962,0.00123512,0.00123512,0.00123512
21,547.78,0.60496,0.52941,0.78384,0.89627,0.99291,1,0.995,0.81205,0.99291,1,0.995,0.81255,0.68802,0.79364,1.0971,1.07484,0.001208,0.001208,0.001208
22,572.928,0.66695,0.61,0.94528,0.94542,0.99092,1,0.995,0.81708,0.99092,1,0.995,0.83955,0.73385,0.77441,1.27678,1.06438,0.0011684,0.0011684,0.0011684
23,597.89,0.54968,0.49586,0.74958,0.88196,0.99199,1,0.995,0.8143,0.99199,1,0.995,0.83229,0.67403,0.67324,1.25393,1.03956,0.0011288,0.0011288,0.0011288
24,622.539,0.65306,0.57941,0.77896,0.91081,0.99574,1,0.995,0.84735,0.99574,1,0.995,0.83659,0.63354,0.60383,1.0588,1.02951,0.0010892,0.0010892,0.0010892
25,647.189,0.5778,0.55062,0.82397,0.87959,0.99684,1,0.995,0.83694,0.99684,1,0.995,0.84527,0.6114,0.64809,1.06228,1.02086,0.0010496,0.0010496,0.0010496
26,671.991,0.66491,0.86099,0.85253,0.93978,0.9966,1,0.995,0.87422,0.9966,1,0.995,0.87306,0.57738,0.61005,0.95702,1.00927,0.00101,0.00101,0.00101
27,696.595,0.65557,0.62929,0.85941,0.92597,0.99575,1,0.995,0.86377,0.99575,1,0.995,0.85507,0.60179,0.63765,0.90599,1.01721,0.0009704,0.0009704,0.0009704
28,721.636,0.63715,0.67047,0.75062,0.8868,0.9931,1,0.995,0.84407,0.9931,1,0.995,0.79716,0.58046,0.59371,0.85164,0.99537,0.0009308,0.0009308,0.0009308
29,749.261,0.7106,0.53382,0.90954,0.98227,0.99027,1,0.995,0.86916,0.99027,1,0.995,0.79738,0.59214,0.55411,0.81417,0.99797,0.0008912,0.0008912,0.0008912
30,782.855,0.54481,0.4081,0.65804,0.89109,0.99182,1,0.995,0.87515,0.99182,1,0.995,0.83901,0.56787,0.53232,0.80226,0.99375,0.0008516,0.0008516,0.0008516
31,825.65,0.60417,0.4823,0.66939,0.85312,0.99315,1,0.995,0.87407,0.99315,1,0.995,0.84861,0.58692,0.5357,0.80616,0.99819,0.000812,0.000812,0.000812
32,863.228,0.57326,0.55296,0.68564,0.8821,0.99642,1,0.995,0.85226,0.99642,1,0.995,0.84396,0.60657,0.6212,0.87755,1.00663,0.0007724,0.0007724,0.0007724
33,897.117,0.53986,0.46711,0.64609,0.88162,0.99608,1,0.995,0.86332,0.99608,1,0.995,0.86402,0.5858,0.61751,0.85052,0.9955,0.0007328,0.0007328,0.0007328
34,931.222,0.56459,0.42213,0.68532,0.87394,0.99649,1,0.995,0.86098,0.99649,1,0.995,0.8784,0.57541,0.54383,0.79708,0.99172,0.0006932,0.0006932,0.0006932
35,962.425,0.62594,0.60329,0.65305,0.88623,0.99654,1,0.995,0.85241,0.99654,1,0.995,0.88582,0.59797,0.52684,0.75781,0.99525,0.0006536,0.0006536,0.0006536
36,991.87,0.64454,0.52709,0.77081,0.91689,0.99663,1,0.995,0.89302,0.99663,1,0.995,0.85249,0.51902,0.60218,0.70167,0.96857,0.000614,0.000614,0.000614
37,1021.95,0.55189,0.44208,0.67749,0.89058,0.99644,1,0.995,0.88906,0.99644,1,0.995,0.8781,0.51786,0.5443,0.68278,0.97017,0.0005744,0.0005744,0.0005744
38,1052.56,0.58039,0.79774,0.68188,0.89584,0.99642,1,0.995,0.8902,0.99642,1,0.995,0.8631,0.51136,0.48807,0.72581,0.96403,0.0005348,0.0005348,0.0005348
39,1082.82,0.53749,0.54993,0.62854,0.88432,0.9965,1,0.995,0.87055,0.9965,1,0.995,0.88862,0.52576,0.51617,0.7848,0.96644,0.0004952,0.0004952,0.0004952
40,1112.69,0.60693,0.5078,0.66459,0.87795,0.99618,1,0.995,0.8932,0.99618,1,0.995,0.88609,0.51439,0.53894,0.92984,0.95821,0.0004556,0.0004556,0.0004556
41,1142.25,0.47318,0.42418,0.8214,0.85546,0.9964,1,0.995,0.89518,0.9964,1,0.995,0.88918,0.49319,0.51012,0.96083,0.95512,0.000416,0.000416,0.000416
42,1170.58,0.52102,0.40829,0.75569,0.8262,0.99632,1,0.995,0.88706,0.99632,1,0.995,0.87222,0.49471,0.51108,0.95995,0.96081,0.0003764,0.0003764,0.0003764
43,1198.74,0.42256,0.45736,0.73834,0.81648,0.99585,1,0.995,0.88321,0.99585,1,0.995,0.87373,0.51009,0.5162,0.94824,0.96292,0.0003368,0.0003368,0.0003368
44,1227.23,0.45599,0.41102,0.7832,0.81093,0.99605,1,0.995,0.89263,0.99605,1,0.995,0.87549,0.51263,0.48876,0.81509,0.95459,0.0002972,0.0002972,0.0002972
45,1255.75,0.45376,0.41655,0.7738,0.86649,0.99627,1,0.995,0.89729,0.99627,1,0.995,0.88915,0.4805,0.45412,0.72966,0.94376,0.0002576,0.0002576,0.0002576
46,1284.14,0.49164,0.39854,0.76991,0.84107,0.99644,1,0.995,0.9147,0.99644,1,0.995,0.89807,0.4509,0.45024,0.69522,0.93518,0.000218,0.000218,0.000218
47,1312.44,0.40487,0.41976,0.71654,0.80739,0.99648,1,0.995,0.90079,0.99648,1,0.995,0.88388,0.43624,0.45843,0.66959,0.93076,0.0001784,0.0001784,0.0001784
48,1342.01,0.40709,0.42256,0.69871,0.84002,0.99674,1,0.995,0.90997,0.99674,1,0.995,0.89546,0.43103,0.46672,0.63687,0.92907,0.0001388,0.0001388,0.0001388
49,1370.47,0.40737,0.36681,0.6965,0.85466,0.99681,1,0.995,0.90997,0.99681,1,0.995,0.88821,0.4367,0.46602,0.63093,0.93058,9.92e-05,9.92e-05,9.92e-05
50,1393.96,0.37432,0.41088,0.66414,0.80093,0.99686,1,0.995,0.90983,0.99686,1,0.995,0.87547,0.43833,0.4599,0.62569,0.93016,5.96e-05,5.96e-05,5.96e-05
